loan_amnt,term,installment,purpose,annual_inc,dti,int_rate_pct,revol_util_pct,delinq_2yrs,inq_last_6mths,open_acc,total_acc,emp_length_yrs,credit_history_years,default,dti_band,util_band,rate_band,early_warning_flag,risk_tier
10000.0, 60 months,244.46,home_improvement,85000.0,11.24,16.24,85.4,1.0,0.0,7.0,25.0,10.0,23.687671232876713,1,Low,Very High,High,1,Watchlist
18000.0, 60 months,452.89,debt_consolidation,136000.0,22.51,17.57,129.4,2.0,3.0,13.0,31.0,8.0,18.51506849315069,1,Moderate,,High,1,Watchlist
16000.0, 60 months,376.29,debt_consolidation,60000.0,30.06,14.48,93.9,1.0,0.0,10.0,26.0,2.0,12.26027397260274,0,High,Very High,Moderate,1,Watchlist
7000.0, 36 months,255.01,debt_consolidation,30000.0,34.4,18.55,40.4,0.0,2.0,14.0,16.0,1.0,14.175342465753424,1,High,Moderate,High,1,Watchlist
15000.0, 36 months,494.43,debt_consolidation,60000.0,18.06,11.47,87.4,2.0,1.0,17.0,32.0,10.0,18.84931506849315,0,Low,Very High,Moderate,1,Watchlist
18000.0, 36 months,590.5,debt_consolidation,120000.0,13.68,11.14,82.2,1.0,2.0,14.0,34.0,10.0,30.019178082191782,0,Low,Very High,Moderate,1,Watchlist
1500.0, 36 months,59.64,debt_consolidation,30000.0,33.36,24.99,86.1,0.0,2.0,13.0,85.0,10.0,16.263013698630136,0,High,Very High,Very High,1,Watchlist
20000.0, 36 months,699.1,debt_consolidation,94000.0,25.88,15.59,83.6,0.0,2.0,13.0,22.0,1.0,18.764383561643836,1,Moderate,Very High,High,1,Watchlist
3000.0, 36 months,98.89,credit_card,45000.0,30.73,11.47,27.0,5.0,1.0,12.0,14.0,3.0,6.336986301369863,0,High,Low,Moderate,1,Watchlist
25575.0, 60 months,841.48,debt_consolidation,60000.0,32.82,30.89,52.0,0.0,2.0,15.0,31.0,10.0,18.51506849315069,1,High,Moderate,Very High,1,Watchlist
10200.0, 36 months,336.26,medical,36000.0,33.07,11.48,4.8,0.0,2.0,13.0,29.0,10.0,16.682191780821917,0,High,Low,Moderate,1,Watchlist
7500.0, 36 months,271.11,credit_card,65000.0,30.93,17.99,16.4,0.0,2.0,17.0,29.0,1.0,14.926027397260274,0,High,Low,High,1,Watchlist
10625.0, 36 months,358.57,debt_consolidation,78500.0,34.64,13.11,73.9,0.0,3.0,13.0,22.0,7.0,17.01095890410959,0,High,High,Moderate,1,Watchlist
23800.0, 60 months,607.61,home_improvement,90000.0,18.19,18.25,86.0,1.0,1.0,18.0,39.0,10.0,25.854794520547944,0,Low,Very High,High,1,Watchlist
18000.0, 36 months,587.17,debt_consolidation,80000.0,23.16,10.75,88.4,3.0,0.0,13.0,31.0,10.0,31.60821917808219,1,Moderate,Very High,Moderate,1,Watchlist
24100.0, 60 months,627.69,debt_consolidation,120000.0,36.71,19.19,69.8,1.0,0.0,23.0,48.0,10.0,21.18082191780822,1,High,High,High,1,Watchlist
7000.0, 36 months,261.26,moving,53754.0,31.25,20.31,61.4,1.0,0.0,12.0,40.0,10.0,22.18082191780822,0,High,High,Very High,1,Watchlist
5000.0, 36 months,170.09,medical,44000.0,48.77,13.67,47.7,0.0,2.0,18.0,34.0,4.0,15.345205479452057,0,Very High,Moderate,Moderate,1,Watchlist
12000.0, 36 months,401.39,debt_consolidation,68000.0,9.09,12.49,82.9,2.0,0.0,6.0,15.0,10.0,17.43013698630137,0,Low,Very High,Moderate,1,Watchlist
18000.0, 60 months,491.53,debt_consolidation,10452.0,84.62,21.45,43.8,0.0,2.0,13.0,21.0,6.0,13.923287671232876,0,Very High,Moderate,Very High,1,Watchlist
7600.0, 36 months,268.29,debt_consolidation,27329.0,30.04,16.29,53.0,1.0,1.0,7.0,12.0,2.0,22.684931506849313,1,High,Moderate,High,1,Watchlist
14000.0, 36 months,489.51,debt_consolidation,46000.0,32.36,15.61,53.0,0.0,3.0,8.0,18.0,3.0,12.594520547945203,0,High,Moderate,High,1,Watchlist
8000.0, 36 months,282.41,credit_card,70764.0,12.68,16.29,83.2,2.0,2.0,16.0,38.0,0.0,15.263013698630138,1,Low,Very High,High,1,Watchlist
5000.0, 36 months,185.8,debt_consolidation,78000.0,24.08,19.99,84.0,1.0,2.0,10.0,30.0,10.0,19.432876712328767,0,Moderate,Very High,High,1,Watchlist
6000.0, 36 months,219.91,debt_consolidation,35000.0,31.28,18.99,5.1,0.0,2.0,20.0,34.0,0.0,10.509589041095891,0,High,Low,High,1,Watchlist
6250.0, 36 months,230.75,debt_consolidation,22128.0,30.75,19.52,89.5,3.0,1.0,6.0,19.0,6.0,16.43013698630137,1,High,Very High,High,1,Watchlist
18000.0, 60 months,459.54,credit_card,78000.0,14.6,18.25,83.3,1.0,2.0,9.0,29.0,10.0,18.682191780821917,0,Low,Very High,High,1,Watchlist
18000.0, 36 months,644.18,credit_card,40000.0,29.1,17.27,80.2,0.0,2.0,17.0,23.0,5.0,17.84931506849315,0,Moderate,Very High,High,1,Watchlist
30000.0, 36 months,1057.68,credit_card,100000.0,17.32,16.2,92.5,0.0,3.0,7.0,27.0,10.0,20.684931506849313,0,Low,Very High,High,1,Watchlist
8175.0, 36 months,285.76,debt_consolidation,60000.0,30.94,15.59,15.0,4.0,0.0,6.0,22.0,8.0,23.183561643835617,0,High,Low,High,1,Watchlist
5000.0, 36 months,167.01,debt_consolidation,57000.0,10.57,12.39,84.1,2.0,0.0,5.0,19.0,10.0,25.350684931506848,0,Low,Very High,Moderate,1,Watchlist
25000.0, 36 months,850.44,debt_consolidation,120000.0,18.85,13.67,81.4,1.0,0.0,18.0,45.0,3.0,13.923287671232876,0,Low,Very High,Moderate,1,Watchlist
9000.0, 36 months,363.77,other,77000.0,24.56,26.24,91.0,1.0,0.0,9.0,12.0,0.0,15.926027397260274,1,Moderate,Very High,Very High,1,Watchlist
8000.0, 36 months,272.15,debt_consolidation,140000.0,23.46,13.67,81.7,1.0,0.0,20.0,43.0,10.0,34.02191780821918,0,Moderate,Very High,Moderate,1,Watchlist
10000.0, 60 months,243.13,major_purchase,156000.0,6.4,15.99,102.0,1.0,1.0,5.0,25.0,10.0,28.523287671232875,0,Low,,High,1,Watchlist
25000.0, 36 months,796.86,credit_card,100000.0,36.84,9.16,49.8,0.0,2.0,11.0,42.0,10.0,28.353424657534248,0,High,Moderate,Low,1,Watchlist
13000.0, 36 months,425.55,credit_card,60000.0,37.46,10.99,95.3,4.0,1.0,13.0,30.0,0.0,17.515068493150686,1,High,Very High,Moderate,1,Watchlist
3000.0, 36 months,103.21,medical,80000.0,12.73,14.46,90.4,1.0,0.0,10.0,35.0,10.0,21.767123287671232,0,Low,Very High,Moderate,1,Watchlist
14000.0, 36 months,471.65,credit_card,50000.0,34.81,12.99,46.8,6.0,0.0,9.0,22.0,1.0,21.0986301369863,0,High,Moderate,Moderate,1,Watchlist
5000.0, 36 months,166.05,debt_consolidation,43200.0,14.0,11.99,90.0,1.0,0.0,5.0,8.0,10.0,29.438356164383563,0,Low,Very High,Moderate,1,Watchlist
11200.0, 36 months,369.18,credit_card,35000.0,31.07,11.47,46.0,3.0,1.0,7.0,22.0,10.0,13.923287671232876,1,High,Moderate,Moderate,1,Watchlist
8000.0, 36 months,261.88,credit_card,155000.0,20.45,10.99,87.8,1.0,0.0,12.0,31.0,3.0,25.350684931506848,0,Moderate,Very High,Moderate,1,Watchlist
16550.0, 60 months,419.01,debt_consolidation,60000.0,33.06,17.86,92.2,1.0,1.0,10.0,40.0,5.0,20.013698630136982,0,High,Very High,High,1,Watchlist
13850.0, 60 months,348.47,credit_card,131000.0,28.46,17.57,98.0,0.0,5.0,14.0,30.0,8.0,30.438356164383563,1,Moderate,Very High,High,1,Watchlist
8000.0, 36 months,268.09,car,48850.0,30.84,12.62,45.9,2.0,1.0,16.0,26.0,3.0,13.761643835616438,1,High,Moderate,Moderate,1,Watchlist
10875.0, 60 months,275.33,moving,35000.0,31.26,17.86,60.2,3.0,1.0,12.0,36.0,2.0,22.767123287671232,1,High,High,High,1,Watchlist
8000.0, 36 months,257.05,credit_card,40000.0,17.73,9.71,81.2,1.0,0.0,3.0,18.0,6.0,19.013698630136982,0,Low,Very High,Low,1,Watchlist
6200.0, 36 months,248.13,debt_consolidation,18264.0,32.06,25.49,32.2,1.0,0.0,14.0,38.0,6.0,31.86027397260274,1,High,Moderate,Very High,1,Watchlist
16000.0, 36 months,594.54,debt_consolidation,55573.0,31.13,19.99,45.9,0.0,2.0,11.0,37.0,10.0,13.093150684931508,0,High,Moderate,High,1,Watchlist
5000.0, 36 months,163.11,debt_consolidation,41400.0,8.12,10.75,85.8,0.0,2.0,6.0,14.0,10.0,15.345205479452057,0,Low,Very High,Moderate,1,Watchlist
28000.0, 60 months,718.51,home_improvement,100022.0,14.46,18.49,82.1,1.0,2.0,4.0,11.0,10.0,16.682191780821917,0,Low,Very High,High,1,Watchlist
22000.0, 36 months,709.78,debt_consolidation,50000.0,32.24,9.99,29.0,1.0,0.0,15.0,54.0,3.0,18.682191780821917,0,High,Low,Low,1,Watchlist
10325.0, 36 months,353.69,debt_consolidation,77000.0,9.32,14.16,85.6,2.0,1.0,3.0,15.0,10.0,23.016438356164382,0,Low,Very High,Moderate,1,Watchlist
16000.0, 60 months,343.83,credit_card,175000.0,12.22,10.49,94.0,1.0,0.0,15.0,48.0,10.0,26.687671232876713,0,Low,Very High,Moderate,1,Watchlist
21000.0, 60 months,588.87,debt_consolidation,102000.0,18.73,22.74,92.6,1.0,0.0,12.0,37.0,9.0,14.67945205479452,1,Low,Very High,Very High,1,Watchlist
17000.0, 36 months,631.7,debt_consolidation,34000.0,39.04,19.99,40.6,0.0,4.0,13.0,27.0,10.0,24.016438356164382,0,High,Moderate,High,1,Watchlist
1000.0, 36 months,34.97,other,40000.0,35.02,15.61,32.1,0.0,2.0,30.0,53.0,10.0,20.684931506849313,0,High,Moderate,High,1,Watchlist
15000.0, 36 months,459.67,credit_card,75000.0,15.14,6.49,83.0,0.0,2.0,13.0,28.0,6.0,32.93698630136986,0,Low,Very High,Low,1,Watchlist
4000.0, 36 months,149.68,other,61320.0,33.15,20.5,78.9,2.0,2.0,11.0,47.0,10.0,38.6958904109589,0,High,High,Very High,1,Watchlist
6000.0, 36 months,202.14,debt_consolidation,147000.0,15.81,12.99,97.4,0.0,3.0,18.0,58.0,10.0,21.767123287671232,0,Low,Very High,Moderate,1,Watchlist
21000.0, 60 months,477.71,debt_consolidation,220000.0,19.71,12.99,82.3,2.0,5.0,16.0,45.0,0.0,32.273972602739725,1,Low,Very High,Moderate,1,Watchlist
20000.0, 36 months,696.35,other,84000.0,19.83,15.31,98.2,1.0,1.0,10.0,25.0,10.0,30.523287671232875,1,Low,Very High,High,1,Watchlist
6150.0, 36 months,222.31,debt_consolidation,60000.0,29.92,17.99,100.1,2.0,0.0,7.0,23.0,0.0,13.175342465753424,0,Moderate,,High,1,Watchlist
3500.0, 36 months,119.61,vacation,50000.0,31.11,13.99,75.8,0.0,2.0,6.0,17.0,9.0,11.594520547945203,0,High,High,Moderate,1,Watchlist
6000.0, 36 months,221.55,car,33000.0,38.73,19.53,35.3,0.0,3.0,9.0,33.0,5.0,17.43013698630137,1,High,Moderate,High,1,Watchlist
22400.0, 60 months,567.11,credit_card,65000.0,37.22,17.86,84.2,1.0,0.0,10.0,26.0,3.0,26.268493150684932,1,High,Very High,High,1,Watchlist
6650.0, 36 months,211.97,medical,250000.0,18.85,9.16,99.7,3.0,1.0,20.0,29.0,2.0,22.34794520547945,0,Low,Very High,Low,1,Watchlist
20000.0, 60 months,532.11,debt_consolidation,83320.0,17.05,20.2,84.0,4.0,0.0,8.0,26.0,6.0,34.608219178082194,1,Low,Very High,Very High,1,Watchlist
24000.0, 60 months,705.99,debt_consolidation,85000.0,35.89,25.11,34.3,1.0,0.0,16.0,36.0,6.0,12.761643835616438,1,High,Moderate,Very High,1,Watchlist
15400.0, 60 months,392.74,debt_consolidation,70000.0,22.89,18.2,83.2,2.0,0.0,5.0,12.0,2.0,27.934246575342467,1,Moderate,Very High,High,1,Watchlist
14000.0, 36 months,476.32,debt_consolidation,55000.0,23.74,13.68,81.1,2.0,0.0,8.0,25.0,8.0,48.11780821917808,0,Moderate,Very High,Moderate,1,Watchlist
13550.0, 36 months,454.54,credit_card,32240.0,27.03,12.69,95.8,1.0,0.0,4.0,18.0,2.0,20.0986301369863,0,Moderate,Very High,Moderate,1,Watchlist
25000.0, 36 months,880.78,debt_consolidation,113000.0,24.84,16.15,93.8,1.0,0.0,13.0,33.0,6.0,31.86027397260274,1,Moderate,Very High,High,1,Watchlist
6375.0, 36 months,210.32,credit_card,29120.0,8.94,11.53,97.8,1.0,0.0,5.0,7.0,0.0,21.767123287671232,0,Low,Very High,Moderate,1,Watchlist
24000.0, 36 months,904.08,debt_consolidation,81000.0,26.27,20.99,94.4,0.0,2.0,14.0,39.0,8.0,26.268493150684932,1,Moderate,Very High,Very High,1,Watchlist
8600.0, 36 months,302.44,debt_consolidation,32000.0,16.13,16.02,96.0,1.0,1.0,9.0,13.0,2.0,13.67945205479452,0,Low,Very High,High,1,Watchlist
3125.0, 36 months,106.79,home_improvement,44200.0,37.28,13.99,2.5,1.0,0.0,9.0,34.0,8.0,18.095890410958905,0,High,Low,Moderate,1,Watchlist
7475.0, 36 months,257.27,debt_consolidation,22000.0,19.69,14.49,95.9,1.0,0.0,10.0,23.0,4.0,14.427397260273972,0,Low,Very High,Moderate,1,Watchlist
35000.0, 36 months,1257.8,major_purchase,96000.0,20.14,17.57,81.8,0.0,2.0,4.0,18.0,4.0,25.183561643835617,1,Moderate,Very High,High,1,Watchlist
9950.0, 36 months,350.8,debt_consolidation,71000.0,20.61,16.2,97.4,0.0,2.0,8.0,12.0,3.0,12.846575342465751,0,Moderate,Very High,High,1,Watchlist
10000.0, 36 months,346.61,debt_consolidation,100000.0,25.79,14.99,84.1,0.0,3.0,24.0,65.0,6.0,23.268493150684932,0,Moderate,Very High,Moderate,1,Watchlist
12000.0, 36 months,423.61,credit_card,52500.0,22.58,16.29,97.3,0.0,2.0,7.0,26.0,10.0,19.51780821917808,0,Moderate,Very High,High,1,Watchlist
4000.0, 36 months,137.36,home_improvement,42000.0,13.4,14.33,91.4,1.0,1.0,7.0,24.0,3.0,25.931506849315067,0,Low,Very High,Moderate,1,Watchlist
10500.0, 36 months,336.3,credit_card,43200.0,9.33,9.49,107.0,1.0,0.0,9.0,19.0,0.0,14.175342465753424,0,Low,,Low,1,Watchlist
1600.0, 36 months,52.68,other,135000.0,31.83,11.39,99.0,4.0,1.0,13.0,21.0,9.0,16.764383561643836,0,High,Very High,Moderate,1,Watchlist
8000.0, 36 months,285.19,debt_consolidation,53448.0,30.15,16.99,68.7,1.0,1.0,10.0,39.0,0.0,35.276712328767125,0,High,High,High,1,Watchlist
13200.0, 60 months,335.13,debt_consolidation,80000.0,30.33,17.99,75.5,1.0,0.0,14.0,32.0,10.0,14.342465753424657,1,High,High,High,1,Watchlist
16150.0, 36 months,600.11,debt_consolidation,46000.0,32.99,19.99,71.0,1.0,1.0,8.0,21.0,10.0,36.19178082191781,0,High,High,High,1,Watchlist
5000.0, 36 months,185.8,credit_card,18000.0,43.2,19.99,54.7,1.0,0.0,9.0,16.0,6.0,14.008219178082191,0,Very High,Moderate,High,1,Watchlist
16000.0, 60 months,325.81,debt_consolidation,360000.0,18.78,8.18,98.2,1.0,0.0,15.0,35.0,5.0,30.85753424657534,0,Low,Very High,Low,1,Watchlist
27000.0, 60 months,683.57,debt_consolidation,62000.0,33.24,17.86,42.5,0.0,2.0,29.0,42.0,10.0,16.345205479452055,1,High,Moderate,High,1,Watchlist
24000.0, 60 months,580.71,debt_consolidation,83000.0,39.88,15.77,29.0,0.0,2.0,16.0,55.0,8.0,26.350684931506848,0,High,Low,High,1,Watchlist
18000.0, 36 months,623.89,debt_consolidation,56500.0,39.23,14.99,63.6,1.0,0.0,14.0,25.0,2.0,15.597260273972603,0,High,High,Moderate,1,Watchlist
12000.0, 36 months,401.39,credit_card,65000.0,19.31,12.49,85.8,1.0,1.0,8.0,25.0,0.0,30.523287671232875,0,Low,Very High,Moderate,1,Watchlist
5600.0, 36 months,199.94,debt_consolidation,110000.0,3.88,17.1,106.9,0.0,3.0,6.0,16.0,9.0,20.0986301369863,0,Low,,High,1,Watchlist
14000.0, 36 months,459.81,credit_card,48000.0,33.61,11.22,68.9,1.0,1.0,14.0,27.0,2.0,24.016438356164382,0,High,High,Moderate,1,Watchlist
7500.0, 36 months,249.08,credit_card,39000.0,31.88,11.99,58.4,1.0,1.0,9.0,12.0,6.0,16.764383561643836,0,High,Moderate,Moderate,1,Watchlist
21000.0, 60 months,488.42,debt_consolidation,70000.0,8.86,13.98,86.2,1.0,0.0,11.0,25.0,3.0,18.345205479452055,1,Low,Very High,Moderate,1,Watchlist
28000.0, 36 months,867.9,debt_consolidation,130000.0,21.6,7.26,83.1,1.0,0.0,15.0,24.0,10.0,29.186301369863013,0,Moderate,Very High,Low,1,Watchlist
26925.0, 60 months,802.97,debt_consolidation,106585.0,31.54,25.8,82.2,4.0,1.0,19.0,55.0,10.0,24.931506849315067,1,High,Very High,Very High,1,Watchlist
35000.0, 60 months,950.42,debt_consolidation,300000.0,23.66,21.18,84.2,0.0,2.0,24.0,41.0,7.0,41.942465753424656,0,Moderate,Very High,Very High,1,Watchlist
27325.0, 36 months,1001.49,medical,328600.0,3.31,18.99,82.9,1.0,0.0,10.0,20.0,5.0,25.350684931506848,0,Low,Very High,High,1,Watchlist
7000.0, 36 months,236.98,debt_consolidation,57000.0,20.51,13.33,86.6,1.0,0.0,11.0,35.0,6.0,22.432876712328767,0,Moderate,Very High,Moderate,1,Watchlist
4200.0, 36 months,145.7,debt_consolidation,72000.0,37.25,15.05,8.5,0.0,3.0,20.0,35.0,6.0,11.512328767123288,0,High,Low,High,1,Watchlist
18000.0, 36 months,602.08,debt_consolidation,70000.0,14.66,12.49,97.5,4.0,0.0,9.0,29.0,10.0,24.6027397260274,0,Low,Very High,Moderate,1,Watchlist
12925.0, 36 months,473.26,debt_consolidation,36000.0,31.7,18.92,80.1,0.0,3.0,10.0,18.0,5.0,13.175342465753424,0,High,Very High,High,1,Watchlist
15900.0, 60 months,458.15,debt_consolidation,47000.0,16.19,24.08,89.8,0.0,2.0,7.0,35.0,9.0,14.846575342465751,1,Low,Very High,Very High,1,Watchlist
13000.0, 36 months,428.01,credit_card,40000.0,56.86,11.39,32.7,1.0,0.0,12.0,20.0,10.0,15.68219178082192,0,Very High,Moderate,Moderate,1,Watchlist
5000.0, 36 months,169.66,debt_consolidation,86000.0,24.59,13.49,98.9,0.0,2.0,6.0,25.0,10.0,38.35890410958904,0,Moderate,Very High,Moderate,1,Watchlist
10500.0, 60 months,247.87,debt_consolidation,60000.0,32.31,14.65,27.8,0.0,2.0,14.0,45.0,3.0,18.92876712328767,0,High,Low,Moderate,1,Watchlist
1000.0, 36 months,34.82,debt_consolidation,55489.0,26.77,15.31,96.9,1.0,0.0,5.0,15.0,6.0,16.263013698630136,0,Moderate,Very High,High,1,Watchlist
21000.0, 36 months,659.81,credit_card,81000.0,19.97,8.18,86.6,2.0,0.0,7.0,23.0,2.0,18.43013698630137,1,Low,Very High,Low,1,Watchlist
3200.0, 36 months,116.56,debt_consolidation,42000.0,23.14,18.54,97.1,1.0,0.0,6.0,13.0,7.0,16.682191780821917,0,Moderate,Very High,High,1,Watchlist
8000.0, 60 months,234.3,other,70000.0,27.33,24.89,85.3,0.0,3.0,11.0,27.0,0.0,17.84931506849315,0,Moderate,Very High,Very High,1,Watchlist
10000.0, 36 months,322.63,debt_consolidation,214000.0,14.97,9.99,81.1,1.0,0.0,17.0,46.0,10.0,26.268493150684932,0,Low,Very High,Low,1,Watchlist
20000.0, 60 months,458.45,debt_consolidation,75000.0,10.67,13.33,80.8,1.0,0.0,5.0,20.0,5.0,13.594520547945203,0,Low,Very High,Moderate,1,Watchlist
31850.0, 60 months,689.01,credit_card,275000.0,2.85,10.78,88.5,2.0,0.0,8.0,17.0,0.0,20.34794520547945,0,Low,Very High,Moderate,1,Watchlist
10000.0, 36 months,349.65,debt_consolidation,56000.0,35.41,15.61,60.0,2.0,0.0,13.0,34.0,1.0,25.6027397260274,1,High,Moderate,High,1,Watchlist
7000.0, 36 months,233.68,debt_consolidation,45000.0,8.08,12.35,97.9,1.0,1.0,11.0,37.0,1.0,14.427397260273972,0,Low,Very High,Moderate,1,Watchlist
5000.0, 36 months,158.24,debt_consolidation,34000.0,30.67,8.67,58.3,0.0,3.0,14.0,24.0,2.0,12.342465753424657,0,High,Moderate,Low,1,Watchlist
7200.0, 36 months,256.67,debt_consolidation,27000.0,28.18,16.99,97.6,3.0,1.0,11.0,21.0,6.0,25.76986301369863,0,Moderate,Very High,High,1,Watchlist
30725.0, 36 months,1157.57,debt_consolidation,85000.0,19.58,21.0,83.6,0.0,3.0,11.0,33.0,2.0,22.852054794520548,0,Low,Very High,Very High,1,Watchlist
10000.0, 36 months,341.73,debt_consolidation,50000.0,20.76,13.99,81.3,0.0,2.0,10.0,19.0,6.0,14.512328767123288,0,Moderate,Very High,Moderate,1,Watchlist
12000.0, 36 months,415.11,debt_consolidation,43000.0,33.02,14.85,36.3,1.0,2.0,26.0,42.0,10.0,44.945205479452056,1,High,Moderate,Moderate,1,Watchlist
15000.0, 60 months,390.93,other,325000.0,9.1,19.22,96.9,1.0,1.0,5.0,32.0,10.0,22.18082191780822,0,Low,Very High,High,1,Watchlist
11900.0, 60 months,266.46,debt_consolidation,56000.0,32.04,12.29,10.8,1.0,1.0,19.0,48.0,10.0,24.183561643835617,0,High,Low,Moderate,1,Watchlist
30000.0, 60 months,809.75,debt_consolidation,72000.0,17.6,20.89,86.9,0.0,3.0,13.0,32.0,4.0,25.52054794520548,0,Low,Very High,Very High,1,Watchlist
35000.0, 36 months,1212.95,debt_consolidation,150000.0,16.69,14.98,87.8,1.0,0.0,13.0,28.0,6.0,33.35616438356164,0,Low,Very High,Moderate,1,Watchlist
2000.0, 36 months,68.84,debt_consolidation,46000.0,19.62,14.49,91.1,0.0,2.0,11.0,13.0,1.0,11.342465753424657,0,Low,Very High,Moderate,1,Watchlist
29000.0, 36 months,898.89,debt_consolidation,130000.0,9.57,7.26,93.2,2.0,0.0,6.0,26.0,10.0,25.350684931506848,0,Low,Very High,Low,1,Watchlist
12000.0, 60 months,289.34,credit_card,46000.0,30.13,15.61,55.0,1.0,1.0,11.0,32.0,5.0,27.934246575342467,1,High,Moderate,High,1,Watchlist
10000.0, 36 months,360.38,debt_consolidation,60000.0,15.14,17.77,95.9,0.0,2.0,20.0,30.0,2.0,25.101369863013694,0,Low,Very High,High,1,Watchlist
20000.0, 36 months,673.79,credit_card,91500.0,11.16,12.99,91.8,1.0,0.0,11.0,31.0,10.0,19.013698630136982,0,Low,Very High,Moderate,1,Watchlist
8000.0, 36 months,298.58,debt_consolidation,150000.0,9.5,20.31,89.4,0.0,2.0,15.0,33.0,2.0,17.095890410958905,0,Low,Very High,Very High,1,Watchlist
7000.0, 36 months,252.26,other,195000.0,11.1,17.77,90.8,2.0,0.0,13.0,35.0,10.0,31.18904109589041,0,Low,Very High,High,1,Watchlist
27500.0, 36 months,926.46,debt_consolidation,90000.0,15.67,12.99,91.2,1.0,1.0,9.0,26.0,6.0,25.6027397260274,0,Low,Very High,Moderate,1,Watchlist
7950.0, 36 months,271.64,credit_card,75000.0,2.08,13.98,86.0,0.0,4.0,4.0,6.0,10.0,32.441095890410956,0,Low,Very High,Moderate,1,Watchlist
20000.0, 60 months,506.35,debt_consolidation,145000.0,31.71,17.86,90.7,3.0,3.0,21.0,53.0,0.0,18.263013698630136,1,High,Very High,High,1,Watchlist
35000.0, 36 months,1174.07,debt_consolidation,106000.0,12.76,12.69,91.4,0.0,2.0,7.0,15.0,0.0,17.095890410958905,1,Low,Very High,Moderate,1,Watchlist
10000.0, 36 months,329.67,debt_consolidation,104000.0,35.05,11.48,79.4,2.0,0.0,14.0,31.0,9.0,35.10958904109589,0,High,High,Moderate,1,Watchlist
